Date,Open,High,Low,Close,Volume,Adj Close
5/11/2017,152.449997,154.070007,152.309998,153.949997,26314700,153.949997
5/10/2017,153.630005,153.940002,152.110001,153.259995,25805700,152.629999
5/9/2017,153.869995,154.880005,153.449997,153.990005,39130400,153.357009
5/8/2017,149.029999,153.699997,149.029999,153.009995,48752400,152.381026
5/5/2017,146.759995,148.979996,146.759995,148.960007,27327700,148.347687
5/4/2017,146.520004,147.139999,145.809998,146.529999,23371900,145.927668
5/3/2017,145.589996,147.490005,144.270004,147.059998,45697000,146.455488
5/2/2017,147.539993,148.089996,146.839996,147.509995,45352200,146.903635
5/1/2017,145.100006,147.199997,144.960007,146.580002,33602900,145.977465
4/28/2017,144.089996,144.300003,143.270004,143.649994,20860400,143.059501
4/27/2017,143.919998,144.160004,143.309998,143.789993,14246300,143.198925
4/26/2017,144.470001,144.600006,143.380005,143.679993,20041200,143.089377
4/25/2017,143.910004,144.899994,143.869995,144.529999,18871500,143.935889
4/24/2017,143.5,143.949997,143.179993,143.639999,17134300,143.049548
4/21/2017,142.440002,142.679993,141.850006,142.270004,17320900,141.685184
4/20/2017,141.220001,142.919998,141.160004,142.440002,23319600,141.854484
4/19/2017,141.880005,142,140.449997,140.679993,17328400,140.101709
4/18/2017,141.410004,142.039993,141.110001,141.199997,14697500,140.619575
4/17/2017,141.479996,141.880005,140.869995,141.830002,16582100,141.246991
4/13/2017,141.910004,142.380005,141.050003,141.050003,17822900,140.470198
4/12/2017,141.600006,142.149994,141.009995,141.800003,20350000,141.217115
4/11/2017,142.940002,143.350006,140.059998,141.630005,30379400,141.047816
4/10/2017,143.600006,143.880005,142.899994,143.169998,18933400,142.581479
4/7/2017,143.729996,144.179993,143.270004,143.339996,16672200,142.750778
4/6/2017,144.289993,144.520004,143.449997,143.660004,21149000,143.06947
4/5/2017,144.220001,145.460007,143.809998,144.020004,27717900,143.427991
4/4/2017,143.25,144.889999,143.169998,144.770004,19891400,144.174908
4/3/2017,143.710007,144.119995,143.050003,143.699997,19985700,143.109299
3/31/2017,143.720001,144.270004,143.009995,143.660004,19661700,143.06947
3/30/2017,144.190002,144.5,143.5,143.929993,21207300,143.338349
3/29/2017,143.679993,144.490005,143.190002,144.119995,29190000,143.527571
3/28/2017,140.910004,144.039993,140.619995,143.800003,33374800,143.208894
3/27/2017,139.389999,141.220001,138.619995,140.880005,23575100,140.300899
3/24/2017,141.5,141.740005,140.350006,140.639999,22395600,140.06188
3/23/2017,141.259995,141.580002,140.610001,140.919998,20346300,140.340728
3/22/2017,139.850006,141.600006,139.759995,141.419998,25860200,140.838672
3/21/2017,142.110001,142.800003,139.729996,139.839996,39529900,139.265165
3/20/2017,140.399994,141.5,140.229996,141.460007,21542000,140.878516
3/17/2017,141,141,139.889999,139.990005,43885000,139.414558
3/16/2017,140.720001,141.020004,140.259995,140.690002,19232000,140.111677
3/15/2017,139.410004,140.75,139.029999,140.460007,25691800,139.882627
3/14/2017,139.300003,139.649994,138.839996,138.990005,15309100,138.418668
3/13/2017,138.850006,139.429993,138.820007,139.199997,17421700,138.627797
3/10/2017,139.25,139.360001,138.639999,139.139999,19612800,138.568046
3/9/2017,138.740005,138.789993,137.050003,138.679993,22155900,138.10993
3/8/2017,138.949997,139.800003,138.820007,139,18707200,138.428622
3/7/2017,139.059998,139.979996,138.789993,139.520004,17446300,138.946489
3/6/2017,139.369995,139.770004,138.600006,139.339996,21750000,138.767221
3/3/2017,138.779999,139.830002,138.589996,139.779999,21108100,139.205414
3/2/2017,140,140.279999,138.759995,138.960007,26211000,138.388793
3/1/2017,137.889999,140.149994,137.600006,139.789993,36414600,139.215368
2/28/2017,137.080002,137.440002,136.699997,136.990005,23482900,136.42689
2/27/2017,137.139999,137.440002,136.279999,136.929993,20257400,136.367124
2/24/2017,135.910004,136.660004,135.279999,136.660004,21776600,136.098244
2/23/2017,137.380005,137.479996,136.300003,136.529999,20788200,135.968774
2/22/2017,136.429993,137.119995,136.110001,137.110001,20836900,136.546392
2/21/2017,136.229996,136.75,135.979996,136.699997,24507200,136.138073
2/17/2017,135.100006,135.830002,135.100006,135.720001,22198200,135.162106
2/16/2017,135.669998,135.899994,134.839996,135.350006,22584600,134.793632
2/15/2017,135.520004,136.270004,134.619995,135.509995,35623100,134.952962
2/14/2017,133.470001,135.089996,133.25,135.020004,33226200,134.464986
2/13/2017,133.080002,133.820007,132.75,133.289993,23035400,132.742087
2/10/2017,132.460007,132.940002,132.050003,132.119995,20065500,131.576898
