Date,Open,High,Low,Close,Volume,Adj Close
2/10/2017,177.369995,178.869995,176.759995,178.679993,2930700,176.951387
2/9/2017,176.169998,177.800003,175.910004,177.210007,3090700,175.495622
2/8/2017,177.5,177.5,175.880005,176.169998,2913100,174.465675
2/7/2017,176,178.619995,175.899994,178.460007,3873500,175.347075
2/6/2017,175.309998,175.979996,174.380005,175.860001,2650800,172.792422
2/3/2017,175,176.339996,174.889999,175.820007,3309300,172.753126
2/2/2017,174.229996,174.970001,173.550003,174.580002,2620500,171.534751
2/1/2017,175,175.699997,172.889999,174.289993,2795700,171.249801
1/31/2017,175.050003,175.580002,173.610001,174.520004,4139000,171.4758
1/30/2017,176.979996,177.070007,174.580002,175.800003,4094800,172.733471
1/27/2017,178.470001,179.199997,177.300003,177.300003,3482300,174.207306
1/26/2017,178.059998,178.880005,177.509995,178.660004,3063900,175.543584
1/25/2017,176.259995,179.25,176.130005,178.289993,5922500,175.180028
1/24/2017,171.360001,176,171.160004,175.899994,6952400,172.831718
1/23/2017,170.080002,171.25,170.009995,171.029999,5478200,168.046671
1/20/2017,167.809998,170.639999,166,170.550003,12690000,167.575048
1/19/2017,166.960007,167.449997,165.800003,166.809998,6963400,163.900281
1/18/2017,167.449997,168.589996,166.690002,166.800003,4007800,163.890461
1/17/2017,166.690002,168.179993,166.119995,167.889999,3315700,164.961444
1/13/2017,167.970001,168.479996,166.880005,167.339996,2875400,164.421035
1/12/2017,167.770004,168.009995,165.559998,167.949997,2927500,165.020395
1/11/2017,166.050003,167.759995,165.600006,167.75,3599500,164.823887
1/10/2017,167.979996,168.089996,165.339996,165.520004,4118700,162.632789
1/9/2017,169.470001,169.800003,167.619995,167.649994,3184700,164.725625
1/6/2017,168.690002,169.919998,167.520004,169.529999,2945500,166.572836
1/5/2017,169.25,169.389999,167.259995,168.699997,2682300,165.757312
1/4/2017,167.770004,169.869995,167.360001,169.259995,3381400,166.307542
1/3/2017,167,167.869995,166.009995,167.190002,2934300,164.273657
12/30/2016,166.440002,166.699997,165.5,165.990005,2952800,163.094592
12/29/2016,166.020004,166.990005,166,166.600006,1663500,163.693952
12/28/2016,167.289993,167.740005,166,166.190002,1757500,163.2911
12/27/2016,166.979996,167.979996,166.850006,167.139999,1397500,164.224526
12/23/2016,167,167.490005,166.449997,166.710007,1701200,163.802034
12/22/2016,167.360001,168.229996,166.580002,167.059998,2802600,164.14592
12/21/2016,166.25,167.940002,165.25,167.330002,3575700,164.411215
12/20/2016,167.490005,168.25,166.449997,167.600006,2174600,164.676509
12/19/2016,166.830002,167.259995,166,166.679993,2955900,163.772544
12/16/2016,168.970001,169.110001,166.059998,166.729996,7120600,163.821675
12/15/2016,168.009995,169.850006,167.779999,168.020004,3388600,165.089181
12/14/2016,168.369995,169.889999,167.449997,168.509995,4124200,165.570624
12/13/2016,165.679993,169.949997,165.679993,168.289993,5932300,165.354461
12/12/2016,166.720001,166.789993,165.070007,165.5,3392300,162.613134
12/9/2016,165.179993,166.720001,164.600006,166.520004,3146900,163.615346
12/8/2016,164.869995,166,164.220001,165.360001,3266400,162.475577
12/7/2016,160.600006,165.179993,160.389999,164.789993,4435100,161.915512
12/6/2016,160.130005,160.789993,158.929993,160.350006,2859000,157.552973
12/5/2016,160.850006,161.149994,159.589996,159.839996,3447100,157.051859
12/2/2016,159,160.289993,158.410004,160.020004,2740900,157.228727
12/1/2016,161.949997,162.199997,158.300003,159.820007,4635700,157.032219
11/30/2016,163.350006,163.800003,162.210007,162.220001,4397800,159.390349
11/29/2016,164,164.410004,163.029999,163.529999,3148200,160.677496
11/28/2016,163.199997,164.660004,162.699997,164.520004,4449400,161.650233
11/25/2016,161.830002,163.190002,161.830002,163.139999,1605300,160.2943
11/23/2016,161.940002,162.380005,161.360001,161.979996,2252700,159.15453
11/22/2016,163,163,161.949997,162.669998,2770800,159.832497
11/21/2016,160.690002,163,160.369995,162.770004,4637100,159.930758
11/18/2016,159.800003,160.720001,159.210007,160.389999,2981600,157.592269
11/17/2016,159.220001,159.929993,158.850006,159.800003,2261200,157.012564
11/16/2016,158.460007,159.550003,158.029999,159.289993,2252800,156.51145
11/15/2016,158.419998,159.149994,157.550003,158.669998,3477000,155.90227
11/14/2016,161.25,161.860001,157.580002,158.210007,5196500,155.450302
11/11/2016,159.970001,161.339996,159.330002,161.270004,4446600,158.456923
