Date,Open,High,Low,Close,Volume,Adj Close
3/20/2017,237.029999,237.360001,236.320007,236.770004,52537000,236.770004
3/17/2017,237.75,237.970001,237.029999,237.029999,89002100,237.029999
3/16/2017,239.110001,239.199997,238.100006,238.479996,78344000,237.446998
3/15/2017,237.559998,239.440002,237.289993,238.949997,96081800,237.914964
3/14/2017,237.179993,237.240005,236.190002,236.899994,59880800,235.873841
3/13/2017,237.619995,237.860001,237.240005,237.809998,57256800,236.779902
3/10/2017,237.970001,238.020004,236.589996,237.690002,81991700,236.660427
3/9/2017,236.699997,237.240005,235.740005,236.860001,90683900,235.83402
3/8/2017,237.339996,237.639999,236.399994,236.559998,78168800,235.535317
3/7/2017,237.360001,237.770004,236.759995,237,65103700,235.973413
3/6/2017,237.5,238.119995,237.009995,237.710007,55391500,236.680345
3/3/2017,238.169998,238.610001,237.729996,238.419998,81974300,237.387261
3/2/2017,239.559998,239.570007,238.210007,238.270004,70246000,237.237917
3/1/2017,238.389999,240.320007,238.369995,239.779999,149158200,238.74137
2/28/2017,236.669998,236.949997,236.020004,236.470001,96961900,235.44571
2/27/2017,236.639999,237.309998,236.350006,237.110001,56515400,236.082938
2/24/2017,235.460007,236.789993,235.410004,236.740005,82381600,235.714545
2/23/2017,236.880005,236.899994,235.559998,236.440002,74615900,235.415842
2/22/2017,236.020004,236.539993,235.830002,236.279999,62115200,235.256531
2/21/2017,235.520004,236.690002,235.509995,236.490005,88946100,235.465628
2/17/2017,233.949997,235.089996,233.929993,235.089996,77204100,234.071683
2/16/2017,234.949997,235.160004,233.850006,234.720001,84722400,233.703291
2/15/2017,233.449997,235.139999,233.389999,234.919998,86785800,233.902421
2/14/2017,232.559998,233.710007,232.160004,233.699997,71109000,232.687705
2/13/2017,232.080002,233.070007,232.050003,232.770004,55182100,231.76174
2/10/2017,231,231.770004,230.619995,231.509995,66015900,230.507188
2/9/2017,229.240005,230.949997,229.240005,230.600006,65955200,229.601142
2/8/2017,228.940002,229.389999,228.309998,229.240005,51566200,228.247032
2/7/2017,229.380005,229.660004,228.720001,228.940002,57931200,227.948329
2/6/2017,228.869995,229.330002,228.539993,228.929993,57790100,227.938362
2/3/2017,228.820007,229.550003,228.460007,229.339996,80563200,228.34659
2/2/2017,227.619995,228.100006,226.820007,227.770004,69657600,226.783398
2/1/2017,227.529999,228.589996,226.940002,227.619995,79117700,226.634039
1/31/2017,226.979996,227.600006,226.320007,227.529999,75880800,226.544432
1/30/2017,228.169998,228.199997,226.410004,227.550003,79737300,226.56435
1/27/2017,229.419998,229.589996,228.759995,228.970001,59711100,227.978197
1/26/2017,229.399994,229.710007,229.009995,229.330002,59970700,228.336639
1/25/2017,228.699997,229.570007,228.509995,229.570007,84437700,228.575604
1/24/2017,226.399994,228.080002,226.270004,227.600006,95555300,226.614136
1/23/2017,226.740005,226.809998,225.270004,226.149994,75061600,225.170405
1/20/2017,226.699997,227.309998,225.970001,226.740005,129168600,225.757861
1/19/2017,226.839996,227,225.410004,225.910004,66608800,224.931454
1/18/2017,226.539993,226.800003,225.899994,226.75,54793300,225.767812
1/17/2017,226.309998,226.779999,225.800003,226.25,61240800,225.269978
1/13/2017,226.729996,227.399994,226.690002,227.050003,62717900,226.066516
1/12/2017,226.5,226.75,224.960007,226.529999,72113200,225.548764
1/11/2017,226.360001,227.100006,225.589996,227.100006,74650000,226.116302
1/10/2017,226.479996,227.449997,226.009995,226.460007,63771900,225.479075
1/9/2017,226.910004,227.070007,226.419998,226.460007,46265300,225.479075
1/6/2017,226.529999,227.75,225.899994,227.210007,71559900,226.225826
